E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
44.8232,0.0434758,3.70911,2567.89,756.699,0.0176098,69501.8,942133,-59027.3,-36691.6,1224.1,2.80915e+06,53240.7,36732.6,-8180.92
32.7185,0.120314,6.06835,2407.38,903.75,0.143572,66604.8,941973,65292.8,-13154.9,9662.69,2.8093e+06,-68764.2,18262.1,-3867.49
42.5886,0.842406,5.82209,2651.41,671.409,0.841666,38143.1,942217,34112.2,-17066,59451.6,2.80906e+06,-29558.9,14331.6,-51889.2
25.286,0.137354,1.31004,2470.31,830.351,0.160005,67298.9,942036,18125.9,64811.9,10908.7,2.80922e+06,-15238.8,-66407.2,-4738.87
56.0566,0.454352,2.37186,2447.58,886.85,0.459005,60291.3,942013,-44659.3,40504.2,31149.2,2.80928e+06,41206.4,-48218.1,-30969
67.5041,-0.712437,0.218813,2731.17,643.628,-0.68674,52112.9,942297,51178.1,9826.23,-49233.5,2.80904e+06,-34441.8,-12293.5,47730.2
46.1416,-0.137897,2.21117,2458.96,865.301,-0.120548,67524.3,942024,-38980.3,55136.7,-8199.69,2.80926e+06,44839.6,-51761,13083
32.5427,-0.916242,1.94472,2441.52,872.35,-0.929753,24954.8,942007,-9124.81,23226.7,-63017,2.80926e+06,12540,-32041.4,60964.4
25.7914,-0.366812,5.83621,2363.58,936.852,-0.361003,62189.3,941929,56359.5,-26289.2,-24074,2.80933e+06,-59576,30720.2,27747.7
38.2829,-0.933596,3.90845,2288.68,1033.6,-0.934277,23396.6,941854,-16630.6,-16456.7,-61307.1,2.80943e+06,20558.3,18522.2,70998.9
33.7072,-0.745418,1.11432,2439.43,874.71,-0.723523,46767.3,942005,21215.2,41678.5,-49018.1,2.80927e+06,-16564.4,-38273,56343.8
32.6189,0.157913,1.35976,2251.88,1077.18,0.13107,64528,941817,13419.4,63117.2,8531.31,2.80947e+06,-16169.8,-74062.7,-17455.8
30.5813,0.437989,5.77012,2489.5,814.814,0.450422,61106,942055,52658.9,-30999.8,30827.8,2.80921e+06,-55659.2,27384.6,-27008.2
26.896,-0.595107,1.4837,2221.18,1116.64,-0.570999,53069.4,941787,2733.02,52999,-36911.5,2.80951e+06,-10823.8,-59241.1,51444
30.5434,0.0806337,4.96237,2590.66,719.404,0.0586455,69700.4,942156,17542.2,-67456.7,4094.66,2.80911e+06,-14648.2,61097.3,-9685.59
24.0222,-0.827286,4.51935,2497.6,799.81,-0.826633,38577.7,942063,-8774.29,-37566.7,-56668.4,2.80919e+06,3071.99,37546.4,55442.1
29.5283,0.0271409,4.57005,2760.36,584.821,0.0645152,71924.1,942326,-10581,-71141.6,4649.89,2.80898e+06,6949.4,56521.4,6495.54
11.0934,0.945743,3.98317,2456.65,832.665,0.947063,21827.4,942022,-12931.8,-17584.2,64389.2,2.80922e+06,20050.7,13162.7,-64049.2
43.6367,-0.889073,4.8682,2469.7,860.413,-0.906152,28832.1,942035,3386.07,-28632.6,-61771.3,2.80925e+06,-9230.93,37661.8,57705
25.2137,0.366079,5.49917,2386.97,922.438,0.364611,62402.4,941952,42439.7,-45748.6,24434.7,2.80931e+06,-52234.7,41870.9,-26464.3
59.2502,-0.776837,4.45488,2558.25,777.483,-0.785482,42939.3,942124,-12262.5,-41151.1,-54498.2,2.80917e+06,7170.34,43363.3,49353.5
29.4256,0.967578,1.76965,2498.27,807.871,0.972083,16087.2,942064,-1834.44,15982.3,66648.5,2.8092e+06,8076.19,-19563.6,-63955.7
50.1355,-0.0816921,2.49197,2359.14,976.233,-0.0564482,66517.4,941925,-52181.7,41250.9,-3760.78,2.80937e+06,60550.7,-41183.4,11035.2
33.6936,-0.0700711,1.66244,2369.68,948.638,-0.0415838,66714.7,941935,-7366.57,66306.7,-2776.65,2.80934e+06,2834.54,-72148.7,10757.5
