E_rel_keV,cosTheta_cm,phi,K3_lab_keV,K4_lab_keV,cosTheta3_lab,pT3_lab_keV,E3,px3,py3,pz3,E4,px4,py4,pz4
45.4979,0.785204,3.67702,14700.2,2973.83,0.789058,102500,954266,-87725.2,-53015.2,131656,3.73035e+06,83695.4,45842.2,-114331
61.3491,-0.300822,3.05689,13912,3759.17,-0.304507,154577,953477,-153784,15634.3,-49416.5,3.73114e+06,160406,-3538.11,47909.5
78.7696,0.425491,2.38084,13265.5,4472.63,0.423072,143563,952831,-105171,97721.1,67032,3.73185e+06,114462,-118309,-79144.3
51.4458,-0.544275,5.21977,14146.7,3495.54,-0.54193,137541,953712,67193.7,-120011,-88690.5,3.73087e+06,-63911,118317,89370
87.1026,-0.526422,3.70179,14033.6,3649.81,-0.530163,138204,953599,-116308,-74651,-86414.7,3.73103e+06,123003,70501.1,84389.2
50.0607,-0.844372,1.28805,13876.8,3776.65,-0.85065,85209.2,953442,23076.2,82025,-137871,3.73116e+06,-29550.6,-91547.8,137528
38.545,-0.951178,2.49371,14185,3453.46,-0.95168,50326.1,953750,-38967,31847.9,-155961,3.73083e+06,44779.4,-24679.6,152126
59.4763,0.186028,4.34211,14286.3,3412.52,0.169856,162079,953852,-55576.9,-152252,27935.9,3.73079e+06,67690.3,138848,-39880.7
48.6793,-0.500074,4.78629,13872.2,3853.83,-0.490755,141194,953438,15863.4,-140300,-79526.8,3.73123e+06,10806,143428,89754.1
71.9161,-0.562131,2.32105,13630.4,4052.6,-0.564889,132539,953196,-91087.7,96278.9,-90732.9,3.73143e+06,95992.1,-108650,95959.3
91.1238,-0.898974,5.74467,13939.1,3758.27,-0.904411,69308.2,953505,60110.8,-34500.9,-146915,3.73114e+06,-66623.7,45320.2,146760
65.0379,0.837471,4.71377,13752.7,3911.5,0.837994,88042.5,953318,-197.595,-88042.3,135206,3.73129e+06,-1380.52,93845.6,-142708
56.651,-0.745106,1.05112,13939.1,3738.93,-0.758956,105773,953505,52206.6,91991.7,-123287,3.73112e+06,-61324,-104281,115116
39.3957,-0.723988,4.25097,13830.7,3814.2,-0.718556,112531,953396,-51616.1,-99994.6,-116266,3.73119e+06,44196,103821,125365
42.1698,-0.284758,0.561919,13958.1,3698.81,-0.273424,156360,953524,133587,81258.1,-44446.3,3.73108e+06,-127546,-91464.5,54348.2
75.3136,0.0748517,0.952073,14049.2,3615.82,0.0730168,162653,953615,94509.7,132378,11908.2,3.731e+06,-94252.5,-133803,-13462.3
41.6599,0.343168,0.246369,14448,3207.35,0.340232,155536,954013,151328,35932.1,56275.6,3.73059e+06,-138049,-43022.5,-54879.7
48.8156,-0.552306,0.46233,14263,3392.64,-0.544133,137875,953828,124162,59945.1,-89419.1,3.73077e+06,-112375,-63558.8,92924.4
39.4948,0.731141,4.95365,13705,3960.73,0.736409,108965,953270,23235.8,-106459,118608,3.73134e+06,-39734.6,114432,-121937
81.8403,0.0732265,4.39987,14192.3,3559.83,0.0592968,163634,953758,-55141.1,-154064,9720.08,3.73094e+06,30317.9,158750,-20729.3
90.4607,-0.362459,4.59689,13931.2,3782.8,-0.365433,151165,953497,-13980.3,-150517,-59345,3.73116e+06,31508.5,154180,58736.9
35.4571,-0.578427,6.14805,13791.5,3860.61,-0.590718,130371,953357,128978,-19002.2,-95444.8,3.73124e+06,-143130,13722.1,90112.9
56.8065,0.644691,1.64106,14081.5,3586.87,0.637545,125790,953647,-6308.83,125632,104096,3.73097e+06,18351.8,-119937,-109683
37.466,0.737208,5.98411,14254.3,3398.28,0.741607,110207,953820,106093,-29828.2,121833,3.73078e+06,-102371,42839.3,-114148
59.4241,0.419415,4.97548,13831,3830.61,0.428978,146163,953396,38102.8,-141109,69411.7,3.73121e+06,-40251.3,150851,-64768.2
51.1721,0.429964,0.160956,14166.3,3488.52,0.441478,146947,953732,145196,22621.9,72301.3,3.73087e+06,-146416,-27496.9,-61842.3
87.3669,-0.369095,0.676304,13950,3730.58,-0.364151,151349,953515,118178,94554.6,-59177.1,3.73111e+06,-119351,-96925.7,64693.9
56.3715,-0.572915,0.588456,13375.9,4338.2,-0.579168,129702,952941,109409,69659.4,-92147.6,3.73172e+06,-118613,-92271.4,98873.3
66.9832,-0.533335,0.73676,13999.8,3660.12,-0.530565,137995,953565,102843,92011.6,-86375.3,3.73104e+06,-100161,-95885.3,89846.8
43.2863,0.797554,5.03773,14038.1,3615.32,0.798725,98090.2,953604,34011.8,-92004.8,130211,3.73099e+06,-21482.8,98205.6,-129840
60.4579,0.847825,4.49988,14211.5,3466.34,0.851653,85971.3,953777,-21025.1,-83360.7,139700,3.73085e+06,7431.75,89541.4,-133341
92.9188,-0.769447,3.32121,14457.5,3239.32,-0.765061,106548,954023,-104759,-19441.5,-126586,3.73062e+06,94573.2,15531.1,122366
66.9615,-0.0128346,4.298,13908.1,3760.38,-0.0241287,162214,953474,-65847.9,-148247,-3915.15,3.73114e+06,65297.2,154136,-5023.84
